"RegionCode","Default Region Name"
"BKM","Buckinghamshire"
"CAM","Cambridgeshire"
"CMA","Cumbria"
"DBY","Derbyshire"
"DEV","Devon"
"DOR","Dorset"
"ESX","East Sussex"
"ESS","Essex"
"GLS","Gloucestershire"
"HAM","Hampshire"
"HRT","Hertfordshire"
"KEN","Kent"
"LAN","Lancashire"
"LEC","Leicestershire"
"LIN","Lincolnshire"
"NFK","Norfolk"
"NYK","North Yorkshire"
"NTH","Northamptonshire"
"NTT","Nottinghamshire"
"OXF","Oxfordshire"
"SOM","Somerset"
"STS","Staffordshire"
"SFK","Suffolk"
"SRY","Surrey"
"WAR","Warwickshire"
"WSX","West Sussex"
"WOR","Worcestershire"
"BDG","Barking and Dagenham"
"BNE","Barnet"
"BEX","Bexley"
"BEN","Brent"
"BRY","Bromley"
"CMD","Camden"
"CRY","Croydon"
"EAL","Ealing"
"ENF","Enfield"
"GRE","Greenwich"
"HCK","Hackney"
"HMF","Hammersmith and Fulham"
"HRY","Haringey"
"HRW","Harrow"
"HAV","Havering"
"HIL","Hillingdon"
"HNS","Hounslow"
"ISL","Islington"
"KEC","Kensington and Chelsea"
"KTT","Kingston upon Thames"
"LBH","Lambeth"
"LEW","Lewisham"
"MRT","Merton"
"NWM","Newham"
"RDB","Redbridge"
"RIC","Richmond upon Thames"
"SWK","Southwark"
"STN","Sutton"
"TWH","Tower Hamlets"
"WFT","Waltham Forest"
"WND","Wandsworth"
"WSM","Westminster"
"BNS","Barnsley"
"BIR","Birmingham"
"BOL","Bolton"
"BRD","Bradford"
"BUR","Bury"
"CLD","Calderdale"
"COV","Coventry"
"DNC","Doncaster"
"DUD","Dudley"
"GAT","Gateshead"
"KIR","Kirklees"
"KWL","Knowsley"
"LDS","Leeds"
"LIV","Liverpool"
"MAN","Manchester"
"NET","Newcastle upon Tyne"
"NTY","North Tyneside"
"OLD","Oldham"
"RCH","Rochdale"
"ROT","Rotherham"
"SHN","St. Helens"
"SLF","Salford"
"SAW","Sandwell"
"SFT","Sefton"
"SHF","Sheffield"
"SOL","Solihull"
"STY","South Tyneside"
"SKP","Stockport"
"SND","Sunderland"
"TAM","Tameside"
"TRF","Trafford"
"WKF","Wakefield"
"WLL","Walsall"
"WGN","Wigan"
"WRL","Wirral"
"WLV","Wolverhampton"
"BAS","Bath and North East Somerset"
"BBD","Blackburn with Darwen"
"BDF","Bedford"
"BPL","Blackpool"
"BMH","Bournemouth"
"BRC","Bracknell Forest"
"BNH","Brighton and Hove"
"BST","Bristol, City of"
"CBF","Central Bedfordshire"
"CHE","Cheshire East"
"CHW","Cheshire West and Chester"
"CON","Cornwall"
"DAL","Darlington"
"DER","Derby"
"DUR","Durham, County"
"ERY","East Riding of Yorkshire"
"HAL","Halton"
"HPL","Hartlepool"
"HEF","Herefordshire"
"IOW","Isle of Wight"
"KHL","Kingston upon Hull"
"LCE","Leicester"
"LUT","Luton"
"MDW","Medway"
"MDB","Middlesbrough"
"MIK","Milton Keynes"
"NEL","North East Lincolnshire"
"NLN","North Lincolnshire"
"NSM","North Somerset"
"NBL","Northumberland"
"NGM","Nottingham"
"PTE","Peterborough"
"PLY","Plymouth"
"POL","Poole"
"POR","Portsmouth"
"RDG","Reading"
"RCC","Redcar and Cleveland"
"RUT","Rutland"
"SHR","Shropshire"
"SLG","Slough"
"SGC","South Gloucestershire"
"STH","Southampton"
"SOS","Southend-on-Sea"
"STT","Stockton-on-Tees"
"STE","Stoke-on-Trent"
"SWD","Swindon"
"TFW","Telford and Wrekin"
"THR","Thurrock"
"TOB","Torbay"
"WRT","Warrington"
"WBK","West Berkshire"
"WIL","Wiltshire"
"WNM","Windsor and Maidenhead"
"WOK","Wokingham"
"YOR","York"
"LND","London, City of"
"ANT","Antrim"
"ARD","Ards"
"ARM","Armagh"
"BLA","Ballymena"
"BLY","Ballymoney"
"BNB","Banbridge"
"BFS","Belfast"
"CKF","Carrickfergus"
"CSR","Castlereagh"
"CLR","Coleraine"
"CKT","Cookstown"
"CGV","Craigavon"
"DRY","Derry"
"DOW","Down"
"DGN","Dungannon and South Tyrone"
"FER","Fermanagh"
"LRN","Larne"
"LMV","Limavady"
"LSB","Lisburn"
"MFT","Magherafelt"
"MYL","Moyle"
"NYM","Newry and Mourne District"
"NTA","Newtownabbey"
"NDN","North Down"
"OMH","Omagh"
"STB","Strabane"
"ABE","Aberdeen City"
"ABD","Aberdeenshire"
"ANS","Angus"
"AGB","Argyll and Bute"
"CLK","Clackmannanshire"
"DGY","Dumfries and Galloway"
"DND","Dundee City"
"EAY","East Ayrshire"
"EDU","East Dunbartonshire"
"ELN","East Lothian"
"ERW","East Renfrewshire"
"EDH","Edinburgh, City of"
"ELS","Eilean Siar"
"FAL","Falkirk"
"FIF","Fife"
"GLG","Glasgow City"
"HLD","Highland"
"IVC","Inverclyde"
"MLN","Midlothian"
"MRY","Moray"
"NAY","North Ayrshire"
"NLK","North Lanarkshire"
"ORK","Orkney Islands"
"PKN","Perth and Kinross"
"RFW","Renfrewshire"
"SCB","Scottish Borders, The"
"ZET","Shetland Islands"
"SAY","South Ayrshire"
"SLK","South Lanarkshire"
"STG","Stirling"
"WDU","West Dunbartonshire"
"WLN","West Lothian"
"BGW","Blaenau Gwent"
"BGE","Bridgend"
"CAY","Caerphilly "
"CRF","Cardiff"
"CMN","Carmarthenshire "
"CGN","Ceredigion"
"CWY","Conwy"
"DEN","Denbighshire"
"FLN","Flintshire "
"GWN","Gwynedd"
"AGY","Isle of Anglesey "
"MTY","Merthyr Tydfil"
"MON","Monmouthshire "
"NTL","Neath Port Talbot "
"NWP","Newport "
"PEM","Pembrokeshire "
"POW","Powys"
"RCT","Rhondda, Cynon, Taff "
"SWA","Swansea "
"TOF","Torfaen "
"VGL","Vale of Glamorgan, The "
"WRX","Wrexham"
